TEXTO,LABEL
ofertar publicidad poder faltar frase bombo fuego tamagochi,POSITIVO
preocupar caso cargar seguidor mantener mesar cantidad saludo valiente maridootro procesar nefasto prevaricador carroza,NEGATIVO
enterar gente decir remus casar tonks poder transformarse sirius jurar,NEUTRO
desear feliz navidad venturoso poder reinventar nuevo normalidad,POSITIVO
conflicto generar entender depresión enfermedad letal incurable llegar ser doloroso superar lograr nivel vida aceptable entender eutanasia bueno morir enfermedad terminal insufrible,NEGATIVO
pasar callar bar chino casar erar gato,NEUTRO
joder llorar vez cumpleaños ver año mandar destrozar,NEGATIVO
regalar libro fiesta regalar sueño disfrutar libro autor enlazar autor,POSITIVO
intervención mujer exterior recordar luchar,POSITIVO
verdadero caro la luz del mundo morbo oportunismo amarillismo medio institución,POSITIVO
jajaja llegar imagínate tener jajajajajaja,POSITIVO
urgente importante espectacularización crisis sanitario coronavirus vergüenza,NEGATIVO
poblar armar mantener unir entrenar arduamente método táctico resistencia revolucionario,POSITIVO
realizar limpieza historial navegación eliminar historial exploración cerrar página abrir ingresar intentarlo quedar atento,NEUTRO
declaración emergencia climatica amazonía creciente devastación ecosistema causar,NEGATIVO
cumplir hermoso noche bueno feliz compañía ser querido,POSITIVO
gobernador lanzar directo indirecto federal bueno correligionario pregonar fidelidad rozón,NEUTRO
hablar sociedad ignorante cómodo preferir creer coser mirar realidad investigar ir,NEGATIVO
noto prensar portal año solo ser coronavirus,NEUTRO
abrazar llenar esperanzar,POSITIVO
ser rogar implorandole universo estar mentir querer haber edad sonar egoísta saber cantar,NEUTRO
pasión eterno servir ejército vocación querer servir bandera querer andar caminar saber vivir manera dep,POSITIVO
awwww hermoso esperar pase lindar,POSITIVO
millón mexicano llegar jugar información basto manipular poblar bueno corrupto inepto,NEGATIVO
diciembre día favorito año,POSITIVO
teletón domingo hacer contribución,POSITIVO
contratar calmo decir último palabra ir país,NEUTRO
preguntar millón chico escuchar hablar nuevo tú,NEUTRO
hermano encontro bolsa preguntar regalo canoa quedar pilotie fijate saber verdad querer ningun disgustar,NEUTRO
enfermero primero mexicano recibir decir mejor regalar,POSITIVO
oír empático madre hijo varar día carretero poder llegar,NEUTRO
correr mascarillita verdad correis negacionista inmoral,NEGATIVO
decir levantarse irse bañar,NEUTRO
acto cultural organizar nivel dar volver irse comer sentir presionar normal amigo ceder,POSITIVO
economía marxista procedimiento ajuste formar manera empírico repetitivo impreciso cuadro insumoproducto noto aplicación,NEUTRO
esperar hacer seguimiento corresponder informar salud imaginar seguir personar comorbilidad alérgico,NEUTRO
publicar boletín semanal digital informe semanal faenar exportación,NEUTRO
preferir crimen misterio escapar cuestión mínimo inspirar casar seguir paso calle centrar histórico intentar descubrir identidad,NEGATIVO
individuo ser juzgar atentar salud público instigar violación medir seguridad acordar organismo,NEUTRO
encantar acordarme tomar feminista entrar facultar cortar cable alarmar tapar cámara todxs encapuchadxs bueno sacar hacer clase malo estudio investigación,POSITIVO
miserable idiota ignorante bueno saber leer,NEGATIVO
agradecer solo encontrar motivo sentirme feliz bendición bueno tiempo desear confiar propósito pesar dificultad ir sanar procesar,POSITIVO
mundo enterar afectar virus ver muerte pobreza incertidumbre detenersebuscar hallar paz consolar coser perecedero,NEGATIVO
entender tratar demostrar pobre básico ignorante considerar tener humilde bajar nivel,NEGATIVO
desgraciar covid secreto guardar segundar ir poner,NEGATIVO
preguntar,POSITIVO
usar forzar militar terrorismo sabotaje mentira desatar surgir ideo,NEGATIVO
gobierno mantener privilegio histórico clase social privilegiar perder noción justicia social objetivar político humanista sentir aplaudir corrupción,NEGATIVO
caer malvinas,NEUTRO
acordar,NEUTRO
ir decir antiboca faltar respetar ningunearon boca,NEGATIVO
feliz inteligente capaz creador tecnológico triste inauditamente destrozar país éxito continuar mundo,POSITIVO
jugar rdr intentar encontrar jugar poder tirar absorber,NEUTRO
jueves programación preciar internacional suministrar combustible,POSITIVO
último salir nochebuena primero salir añonuevo cambio horario líneo detallar día enero,POSITIVO
implicar verificar existir situación violencia vulnerabilidad cuestionar,NEGATIVO
cumplir año despedir ser amor enseñar habilidad virtud maravilloso olvidar,POSITIVO
dejar seguir acabar año,NEUTRO
diagnosticar padre contagiar trabajar fortuna perjudicar,NEGATIVO
down descargar,NEGATIVO
declaración emergencia climatica amazonía creciente devastación ecosistema causar extractivismo contaminación deforestación incendio amazónico,NEGATIVO
juntarme intercambiar macristas millonario cliente macristas pobretón banco,NEGATIVO
fiesta included piripi ser mejor navidad,POSITIVO
heterosis gran herramienta conseguir raza adecuar decir ganadero experiencia usar innovación ganadería alimentación,NEUTRO
para ideologia historicas propuesta concebir victor mente brillante vigente crisis pap alanismo responsable sera erradicar alanismonoesaprismo,POSITIVO
casar ejemplo miseria moral indigencia intelectual ppstyle,NEGATIVO
mentira fracasar hacer nuevo técnico intentarlo,NEGATIVO
ir decir antiboca faltar respetar ningunearon boca marron pedir disculpar poblar boquense,NEGATIVO
nochebuena celebración cristiano noche nacer diciembre día,POSITIVO
encantar desearos feliz celebrar gente morir importar divertirnos irresponsable imprudente joven adulto librar,NEUTRO
ganancia youtube hijo comprar lote,POSITIVO
vox tele periódico lamebotas mesar increíble indignante salir solo portar,NEGATIVO
fail bananero infantil recibir vacuno inmunizar chileno lograr contrario hacerte día odioso el peor presidente de la historia,NEGATIVO
vender único interea anhelar transgénico experimental interesar,NEUTRO
adjetivo caballero emplear calificar estupendo poesía margarit abanicar exacto esencia resentimiento amargura odiar sumo pobre perdedor,NEGATIVO
querer fingir,NEUTRO
entregar reconocimiento icap labor desempeñar año para potenciar,POSITIVO
grupo año estudiar gustar joder bisexual valala año saber perdio año primario hacer vez romper bola salir,NEGATIVO
navidad ignorante ser pagano romano festejar nacimiento niño crucificar ir infierno festejar hacer ir,NEGATIVO
ley educación nacional aículo,POSITIVO
haber cachar cachar pegar inventar religión mujer hombre mentiroso infiel medio perso,NEGATIVO
regalar libro fiesta regalar sueño disfrutar libro autor autor amaz,POSITIVO
encarni esperar lado iglesia fondo saludo gato,NEUTRO
acordar decir pandemia domar peor pasar,NEUTRO
pionero reciclaje crecer incentivar economía circular nivel nacional recuperar,POSITIVO
macho regalar muerte mujer valorar desarrollar crecimiento independencia embargar suicidio fastidiar vivir macho despreciar pandemia,NEGATIVO
gracia catita lindo juntar familia,POSITIVO
pedir llegar amorcito gustar,POSITIVO
hacer comprar diciembre ingresar seguimiento preparar producto,NEUTRO
lugar personal enfermería,NEUTRO
súper emocionar ver día encantar verdad malo gorra adir llanto,NEUTRO
gustar insuflarme esperanzar ilusionar pedazo,POSITIVO
farandulizar colegiar médico criticar vacuno pedir sobriedad,NEUTRO
milagro comenzar permitir ver sentir coser día gris,POSITIVO
soñar hablar decirme ir ser papá casar taaan triste,POSITIVO
quinto feliz infancia contribuir quiosco básico dueño querer imaginación potente ordenador velocidad penar,POSITIVO
negro mesar juguetón sociable adopción cuestionario adopción,NEUTRO
pandemia confinamiento allegar tiempo ser creativo bueno dejar pasarse videos grupo red social bueno momento redactar meditar individualizar,NEUTRO
aparecer seguir,NEUTRO
brillante intachable,POSITIVO
mundo competir ver papel capital infraestructura meter servidor primero raid pais quejar,NEUTRO
ejercitos defender interesar,NEGATIVO
separatismo obsesionar español niño escuela catalán comerciante restau,NEGATIVO
médico neurocirujano juramentar presidente ciudad sanitario,NEUTRO
dejar impresionarme gente bueno vibrar conmover ridiculez,POSITIVO
peor riesgo político decidir,NEGATIVO
presidente esperar gobernador intendente especial pedir,NEUTRO
gracia querido feliz navidad,POSITIVO
liderar distribución vacuno latinoamérica imponer ideología,POSITIVO
consentir empresa dental anunciar brutal seguir anunciar tratamiento precio dar historial idental saber tratamiento realizar generar grandísimos perjuicio,NEGATIVO
ver amar feliz sentir bisexual,POSITIVO
alcazar país tenerlo continente americano coser competir politizar formar ver coser méxico joder ser no pinche vender,NEUTRO
familia feliz navidad,POSITIVO
último programar año esperar,NEUTRO
edición limitar aniversario año botella quedar,POSITIVO
bendición,POSITIVO
noche abrazote,POSITIVO
femicida asesinar expareja hijes,NEGATIVO
poner reactivación economía lograr terminar dato positivo crecimiento económico,POSITIVO
esperar personar drogadicto bipolar,NEGATIVO
bendición bello abrazar fuerte virtual,POSITIVO
ser rockefeller poner implementar matanza primero matanza año mantanza bananero personar saber memoria chiquito,NEGATIVO
resistir embate neoliberal menemismo vender,NEUTRO
haber personal policía intendencia recorrer otra cabeza información noticiar vivir facebook twitter,NEUTRO
en portada comenzar aplicarse grupo personal médico atender,NEUTRO
reiterar bueno encontrar redar mensaje imagen compartir gracia mediar animar personar cuidar,POSITIVO
stps crear norma atender aspecto office requisito,NEUTRO
convertir gran cazador noticiar bueno país volverlas malo favor poder cazar ignorante ingenuo falso,NEGATIVO
deber hombre útil somos cuba somos continuidad,POSITIVO
pluscuamperfecto galego reintegrar chámase pretérito fantasía,NEGATIVO
festas familia alegría,POSITIVO
aprender expresión bananero ofensa pueblo atacar elite extractivo,NEGATIVO
acudir inspección trabajar iniciar juicio pagar remuneración empleador hacer cargar remuneración faltante pagar cotización multar atraso infracción entender relación laboral,NEUTRO
manera mujer liberal hombre pillaos impotente mujer liberal poder usar tecnicas intimidación emergencia dá inmunidad total aterrorizar hombre yasesinarlos meterlos preso,POSITIVO
economía marxista epc programar prioridad inversión escasez momento ejecutorio vestir obrar proceso repente insumo,NEUTRO
caber vacuno suponer valer dolar nacional internacional,NEUTRO
bueno día entender malestar querer pedirle disculpar intermitencia producir sistema web operativo ingresar usar google eliminar navegador saludo,NEGATIVO
año hermano emocionar llorar fiesta gracioso tierno,POSITIVO
caco yuca,NEGATIVO
refrinsurca refrigeración industrial suramerica repuesto refrigeración domesticar comercial industrial automotriz tubería gas refrigerante asesoría instalación equipo industrial refrigeración aniversario,NEUTRO
poner camisa junior salir ir,NEUTRO
ver conocer historia primero parejo mundo juntar hijo hijo,POSITIVO
ley nacional aículo ciudad autónomo responsabilidad principal indelegable proveer educación integral permanente calidad todosas losar habitante nación,NEUTRO
escuchar discursar rey verde hora feliz fel,POSITIVO
medio escrúpulo,NEGATIVO
alcalde fake explicar cabeza,NEGATIVO
cumplir promesa economía redistribuir covid improvisación ilógico,NEUTRO
poder dejar pensar noche madrugar mayoría complejo inseguridad crear personar mierda burlar vez físico,NEGATIVO
manera indirecto presupuestar ampliar plantar personal juez,NEUTRO
cometer seriar error terrible invencible iluminar imposible hacerlo cambiar opinión grande pleito general,NEGATIVO
feliz fiesta personar interesar luchar corrupción probidad transparencia integridad,POSITIVO
néstor corazón energético central hidroeléctrico realizar,NEUTRO
vez peor imposible día malo fracaso presidencial vacuno tres mil pinches vacunas,NEGATIVO
creador robar vergüenza cachar condicionar ser someter procesar objetivar imparcial recentar creación entregar agarrar,NEUTRO
pando medir firmar convenio continuar apoyar olla popular merendero,POSITIVO
papel follamo,NEUTRO
mariñas marosas maruxainas mullir,NEUTRO
cambio necesario cambio repetir cambio afirmar abrir nuevo infinito,POSITIVO
resistencia entrevistar costar,NEUTRO
coimero recibir aumentar visit,NEGATIVO
año difícil embargar navidad esperanzar año venir posible imaginable logro celebrar casar,POSITIVO
momento decir discutir sacar conclusión coser decir palabra decir,NEGATIVO
acertar mundo repertorio ir selección felicitación variar surtir,NEUTRO
partir porqué ver llevar colerones hombre mujer mujer hombre depender estatus social,NEGATIVO
sonar fragmentarlo audible programar realizar curar sellar programar radiar casar,NEUTRO
hacer escribir quedo mediocre ignorante aplaudidor régimen autoritario payaso palacio,NEGATIVO
tren agostar,NEUTRO
gente preocupar informar cateto urbano rural pulular primario,NEUTRO
federal coalición acordar distrito sonoro ir representar decir distrito partir ir lado,NEUTRO
agradecer acompañar trabajar reflexionar crítico año lección día,POSITIVO
fumar pollo escribir estupidez copas duro pa,NEGATIVO
agradecer corazón preocupación ser seguir mejorar patriota defensor méxico,POSITIVO
ganar cba city pasar buscar mejor amigar irnos papá comer,POSITIVO
hacer posible salir desear hermoso seguir inmune inmune desear hermoso navidad,POSITIVO
rechazar manera categórico utilización nombrar propósito respaldar aspiración rectoría,NEUTRO
chillar amar donghua querer leerme novelar estar precioso bebé,POSITIVO
oreja villancico lado cristal músico,NEUTRO
decir ir regalar obviar reclamar,NEUTRO
vida futbolista sharon hallar izabal autoridad,NEUTRO
haber tomar concienciar significar institucionalizar rebelión apuntalar impedir caer ir,NEGATIVO
caer malvinas prioritario peligrar público,NEGATIVO
navidad celebrar firmeza poblar cubano adversidad reto imponer,POSITIVO
olvidar oposición festejar hacer escarnio muerte covid hocicar,NEGATIVO
alcalde municipio mensaje planeación realizar consecución recurso regalar fecho construir paz con legalidad feliz navidad,NEUTRO
acabar año hacer balance empezar año intensar vivir mesar duro sacar sonrisa mañana año aprendizaje aspecto,POSITIVO
inestimable imprescindible pasar,NEUTRO
regalar vacuno tonto querer ser controlar irse patio callao,NEGATIVO
liberar potencial luz color hacias tipo amistad hacer fuerte ayudar comprar perfume señor tender decir gustar hermanar,POSITIVO
bueno librarse gente culero innecesario vida,POSITIVO
bueno día cielo nublar lluvia intenso oaxaca intervalo chubasco zona montañoso ambientar freír evento,NEUTRO
calcetos comodidad rigor histórico haber mejorar regalo bajar,NEUTRO
traer salar dirigir protagonizar,NEUTRO
buenjueves conectar servicio salud medir generalizar usar aplicación coser desafío integración estandarización interoperabilidad dato noto innovasaluddigital,NEUTRO
decir entrar casar,POSITIVO
llegar nuevo perder interesante presentación inscríbet,NEUTRO
querer tener vida prota dama tener ser hermoso inteligente ganar plata último importante ser alcohólico rato libre,POSITIVO
posta tardar irme banda aguantar porq querer corto,NEUTRO
entender militancia ideologización vacuno ser ruso polaco importante efectividad origen negociar aparecer vacuno fundamentalismo lavar cerebro gravar virus,NEUTRO
joeee feo ayudar,NEGATIVO
comentar obviar molestar incómodo verlo,NEGATIVO
conocer mostrar rojomssa seguridad reservar,POSITIVO
personaje inhumano hipócrita país millón dólar armar destruir mundo doler apoyar gente país gente imigrante trabajador,NEGATIVO
vestir foto pandemia mundial ser año increible grande momento viaje experienciasviviendo coser amigo conocer personar aprobar asignatura,POSITIVO
divertir llevar día lateros divertir espante repetir discursar repetir tratar esconder error incapacidad argumentar,NEUTRO
contar desearos ser feliz noche vida brindar superar sobrevivir,POSITIVO
peligroso impactante fiscal diciéndole procesar detener ir,NEGATIVO
desgastar corazón escuchar músico recordar ver mentir intentar soltar llevar atorar corazón,POSITIVO
hablar infierno,NEGATIVO
preparar mesar repartir comprar helar secar litro operativo grande,NEGATIVO
emplear agenciar defraudar padre hijo mano leer,NEGATIVO
ser origen ser origen escocés,NEUTRO
anual vegetal escritor investigador hualde contribución,NEUTRO
nochebuena quejándonos largar hacer enero lol,NEUTRO
invitar querer participar cursar inversión enero aplicar,POSITIVO
impresionante cantidad variedad hombre edad maduro ser responsable,POSITIVO
amar euge llorar,NEUTRO
gracia cuartomilenio milenario,POSITIVO
activista extremo izquierdo comunista poder,NEUTRO
nuevo pasar luchar pandemia,POSITIVO
solo pensamiento enemigo mundo provocar dañar irreparable histórico embargar gobernar chino actuar pasar bravata vida izquierdo mundial cómplice,NEGATIVO
abrir hilar streamers pequeño mirar necesitar hacer ser entret,NEUTRO
medio nacional internacional hablar escándalo región seguir culpar,NEGATIVO
importar contalo texto preditivos,NEUTRO
atención presidente electoral llegar reunirse presidente diana intentar buscar salir pugnar institución justicia social,NEUTRO
prosperar año nuevo chileno delincuente narcotraficante saqueador político anarcos incendiario izmierdistas,NEGATIVO
usuario profesional solo sociólogo filósofo antropólogo abusar hegemónico profesional sanitario menudo cientifista crítico debatir necesario complejo demasiar atropello,NEGATIVO
atención región antofagasta hora comenzar feriar obligatorio irrenunciable trabajador comerciar detalle,POSITIVO
gobiernodegastadores lugar vender humo volar vida cuidar recurso publicar,NEGATIVO
ser influir resultar depender vida tipo despertar familia grito ganar,NEUTRO
buscar amor vez pedir ser humano poder darme rogar espíritu santo ayúdame valorar ofrecer enséñame ver presenciar amor necesitar,POSITIVO
ver conocer historia primero parejo mundo juntar hijo hijo genesis,NEUTRO
aprovechar último rayo sol balcón hijo felicidad navidad,POSITIVO
miedo amparar miliciano vándalo barrer bravo nacional dim mayor razon revocarlo trabajar junto recoger firmar necesario fin acabar ciudad,NEGATIVO
utilizar temer politiquería excusar decir sátrapa,NEGATIVO
tranquilidad dar tener duplo central salir buscar partir ir atacar,POSITIVO
cobrar preciar confirmar desinstalando aplicación turbio ilegal,NEGATIVO
golfo albergar ecosistema interacción inexplorado comunidad equilibrio entornar,NEUTRO
tener foto vídeo comentar serio bueno contactar iniciar investigación,POSITIVO
director alexander enviar caluroso mensaje familia externo interno investigación innovación docente pedagogía magisterio,NEUTRO
invitar recorrer líneo puñado clásico cine polaco cursar,NEUTRO
partir querer insultarles intearles,NEGATIVO
mirar incongruencia molestia poblar mexicano abyecto inútil innecesario,NEGATIVO
néstor pdte instrucción atender,NEUTRO
cosechar nuevo éxito económico político social patr,POSITIVO
último hora circular elprianrd quit claro evidenciar mexicano ladrón regresar pasar inundar,NEGATIVO
requisito contratar banco bien mueble inmueble cliente cumplir pagar señor gobernante tener vacuno colmar,NEUTRO
dejar manir soldano izquierdoz pedir,NEGATIVO
jajajaja atrever único inigualable hormona,POSITIVO
increíble inconcebible explicación comprar vacuno laboratorio vacuno pagar bien país,NEUTRO
liderazgo virus debil,NEUTRO
fachendear ilusión homenaxe recoñecemento tímido introvertido vida familiar,POSITIVO
feliz fiesta lozanistas mejorar deseo vosotrosas salud trabajar amor,POSITIVO
madre hablar fútbol cenar tío ver vez año roncolas,NEUTRO
final importante esperanzar ilusión deber dejar situación beso abrazo virtual,POSITIVO
celar compartir bebé hacer poeta,POSITIVO
denunciar seremi salud parecer dar resultar mínimo investigar estar,NEGATIVO
dipy laburo periodístico impecable responder desafiar prueba documentar irrefutable,POSITIVO
decadente caudillaje bárbaro inquisición hoguera torturar fiasco cruzar rodear islam cesaropapismo guerra religión retroceso civilizatorio cambiar pisar,NEGATIVO
tipo responder descargar,NEUTRO
gente poner creativo hacer mesar regalo,POSITIVO
cambiar sitiar web decir tener posicionar vocal rap dancer lit miembro,NEUTRO
negar unir tipo delincuente condenar candidato,NEGATIVO
celebrar agregar favorito tremendo colaboración juntar,POSITIVO
haber cotar disculpar ecuatoriano incluir alcahuete delincuente abar etamo hacer rechazar total,NEGATIVO
navidad normal sentirme feliz saber sufrimiento impotencia existir hospital,POSITIVO
mensaje amor partir director regional equipar trabajar sena feliz navidad,POSITIVO
noche gustar izquierdo derecho moderar,POSITIVO
casar disfrutar tradición torrija beber día nochevieja insultar rey discursar,POSITIVO
reorganizarse menor plano capacitar identificar club buscar scouters largar ancho hinchar alimentar cantera,NEUTRO
saber hermoso inteligente mujer leer hacer darle publicidad gratuito,POSITIVO
cn resumir perder acordar desgastar gustar desconfianza dejar claro odiar demostrar lealtad,NEUTRO
omitir soldar basar imponible parecer ser personar ver liquidación empresa inclusive sector público bono imponible pensión asegurar retornar bajo,NEUTRO
joven extranjero graduar médico idoneidad nacer pref,POSITIVO
desear feliz próspero año fiesta diferente inolvidable,POSITIVO
opinión diferir lugar argumentar rebatir razonar grosero insultar demas tendriamos mirar,NEGATIVO
aprobar vacuno ruso ministerio autorizar usar anmat,POSITIVO
expulsar judío impulsar limpieza sangrar protestante racista anglonórdicos,NEGATIVO
jubilar recoger aceituna campar vivir tener hijo,NEUTRO
profesor universidad público autoevaluación malo,NEUTRO
amigar festejar año empatar local limón perder aldosivi kilo carne inventar título ficticio acordar quedar punto pasar fase grupo,POSITIVO
ser argentino inventar hidrogenerador producir grande cantidad energía limpio dar trabajar,NEUTRO
vender amazzzon,NEUTRO
hacer dañar noseq fumar hacer dañar gente bombo,NEGATIVO
emojis menino uaaaaaaaaaaaaaaar,NEUTRO
respetar compatriota saber castrismo reprimir pobreza incompetencia corrupción indig,NEGATIVO
llevar cantidad organización asociación extremo izquierdo comunista poder,NEUTRO
especialista microbiología epidemiología enf,NEUTRO
comentario falto mérito primar presidente error desacreditar reportaje verdad,NEUTRO
amar español ser inventar cuero cabelludo voz alto,POSITIVO
salir árbolito tirar,NEUTRO
mejor pasar día cruzarme amigo decirles llamar darle,NEUTRO
buscar hogar empezar año tranquilo cariñoso sociable adopción cuestionario adopción,POSITIVO
expresidente argentino sufrir fallir renal encontrar gravar salud,NEGATIVO
imponer moda juntarse probar sabor lugar exótico tradicional mundo crema helar,NEUTRO
fiesta durar minuto previsible profesor intervenir celebración,NEUTRO
avisar asqueroso dándole patético indignar show montar po,NEGATIVO
hacer estupidez asignar coser,NEGATIVO
rabiar dar cuchufleta ineptitud,NEGATIVO
comprar igual perfecto pensar salir,POSITIVO
reforzar incrementar recurso político social vivienda público nuevo infraestructura progr,POSITIVO
discapacidad cognitivo crecimiento mental retardar anomalía procesar aprendizaje hacer referenciar adquisición incompleto habilidad intelectual desarrollar humanar poner manifestar,POSITIVO
palabra cristo amar ,POSITIVO
sabor chorizo constituir sabor único irrepetible memoria coser sensación olfato gustar marcar indeleble identidad personal colectivo,POSITIVO
juntar inaugurar iluminación avenir iberá,NEUTRO
defensor inferior mostrarles día partir hacer magistral,NEUTRO
ofertar fuerte puntual físico lanzamiento preciar igic ofertar constante interesante,NEUTRO
inglaterra salteño meter zurdazo cruzar bajo altura abrir marcador iniciar triunfar,POSITIVO
ser inútil tiempo gobernar,NEGATIVO
mexico comenzar vacunación covid gobernar amayrespeta spueblo personal salud atender paciente recibir vacunacdmx edomex vivo perdonal salud vivo mexico,NEUTRO
mesar usual agorero dictaminar nuevo fracasar inminente fin sistema librar mercar,NEGATIVO
crecer crecer salario quedar capitalista tesis inicial ajustar dato interpretar brecha pasar hablar desigualdad salario medio plusvalía,NEUTRO
mes ir trabajar roturar usar pagar combustible fabricar damocles chapar,NEUTRO
ser argentino inventar hidrogenerador producir grande cantidad energía limpio dar trabajar personar,NEUTRO
junto accionista realsociedad,NEUTRO
repartir bueno vibrar trabajar gente mejor caro locu,POSITIVO
hermano taehyung tío contento significar conocer chico kajsjsj callar cruzar hermano,NEUTRO
descarar denunciar detención injusto inhumano empresario cabo verde sufri,NEGATIVO
detectar estafar domiciliar ofrecer vacuno llamar informar,NEGATIVO
ojo tener equipazo jugar sudaméricana dejar ser pelotudo firmar ir,NEGATIVO
estudiar investigar existir sistema socialista fracasar fracasar formar generar riqueza esperar dinero exterior comprar vender,NEGATIVO
fallecimiento trabajador hijo pagar pensión familiar dependiente casar empleador cumplir ley coser personar inicial diferenciar término,NEGATIVO
hacer live armar canción chico,POSITIVO
votar favorito cultura,POSITIVO
golazo negociar gobernar cubano llevarle dólar,NEUTRO
ir enseñar andar regalar mejor regalar mundo,POSITIVO
callar querer meter bocado dejar escucharrr,NEGATIVO
capitano,NEUTRO
único ganar agarrar jugar matar tortita subirme auto irme montaña,NEUTRO
coffee bonito hermoso caido cieños rostro tallar mismisimos diosesaunque vestir,POSITIVO
médico neurocirujano juramentar presidente ciudad aybar acto realizar reunión listíndiario,NEUTRO
lindo modalidad conductor aceptar viaje tarjeta decir llegar aparecer dinero hacer,POSITIVO
nava periodista historiador vestir llorar nieto ir luz interrumpir,NEGATIVO
desear sonrisa vida salud decir bienestar innumerable café panza lograr ser personar ser olvidar dar recibir,POSITIVO
creer önder apoyar madre relación distante conocer pesar ser madre,NEUTRO
pelear poblar millonario causar fiscal juez institución,NEGATIVO
laboratorio farmacéutico investigación omitir trascendente hitar información tesis,NEUTRO
temer aburridor tocar soltar superar avanzar integrar nuevo valorar plantilla selección variante joder vaina ser simple girar tipo inestable,NEGATIVO
iniciativo autofinanciado autónomo investigación periodístico periodismo digital observatorio ciudadano,POSITIVO
papelitonos dar dar ir querer encantar,POSITIVO
año morir líder importante luchar obrero siglo defensa costar cárcel año pérdida profundo causar proletario recuperar ideo organizativo obligación,NEUTRO
adorar manir llevar coser suave dar miedo poner vaina pesar lugar poder ser humedo tipo coser,NEUTRO
querer crearme avatar personalizar utilizar saber utilizar blender ajjjajsjjajsj,NEUTRO
inédito complicar necesitar hacer corazón vida próximo feliz mensaje,POSITIVO
dar risa conocer gente dar decente malo palabra personar horrible hijueputas ropa haber,NEGATIVO
bueno día gente interesante dejar bueno navidad,POSITIVO
forza traballar,NEGATIVO
miércoles contigo anticipar emitir convocatorio conformar ciudadano ayudar dar continuidad obrar accionar iniciar impulsar desarrollar,POSITIVO
dial ver levantar investigar primero vez mísero vida dial cuanto dosis,NEUTRO
compartir info breve cursar elearning dictar enero filosofía cognitivo,NEUTRO
millón euro contrato minoria absoluto productor,NEUTRO
polémico falso primero preso político botar pdvsa círculo bolivariano lina ron colectivo listo tascón haber sembrar polvo traer lodo ypunto,NEGATIVO
junto último empezar vacunar aldea control mañueco casar equipazo,NEUTRO
